id;simrun;trial;choice1;choice2;s2;win;common;stay;rt1;rt2
1;1;81;1;1;2;1;0;1;1;1
1;1;82;1;2;1;1;1;1;1;1
1;1;83;1;2;1;0;1;1;1;1
1;1;84;1;2;1;1;1;1;1;1
1;1;85;1;1;2;1;0;1;1;1
1;1;86;1;1;2;1;0;1;1;1
1;1;87;1;2;1;1;1;1;1;1
1;1;88;1;2;1;1;1;1;1;1
1;1;89;1;2;1;0;1;1;1;1
1;1;90;1;1;2;0;0;1;1;1
1;1;91;1;2;1;1;1;1;1;1
1;1;92;1;1;2;0;0;1;1;1
1;1;93;1;2;1;1;1;1;1;1
1;1;94;1;2;2;1;0;1;1;1
1;1;95;1;2;1;1;1;1;1;1
1;1;96;1;2;2;0;0;1;1;1
1;1;97;1;2;2;1;0;1;1;1
1;1;98;1;2;2;1;0;1;1;1
1;1;99;1;2;2;0;0;1;1;1
1;1;100;1;2;1;1;1;1;1;1
1;1;101;1;2;2;1;0;1;1;1
1;1;102;2;2;1;1;0;0;1;1
1;1;103;1;2;1;1;1;0;1;1
1;1;104;1;2;1;1;1;1;1;1
1;1;105;1;2;2;1;0;1;1;1
1;1;106;1;2;1;0;1;1;1;1
1;1;107;1;2;2;0;0;1;1;1
1;1;108;1;2;1;1;1;1;1;1
1;1;109;1;2;1;0;1;1;1;1
1;1;110;1;2;2;1;0;1;1;1
1;1;111;1;2;1;1;1;1;1;1
1;1;112;1;2;1;1;1;1;1;1
1;1;113;1;2;2;1;0;1;1;1
1;1;114;1;2;1;0;1;1;1;1
1;1;115;1;2;2;1;0;1;1;1
1;1;116;2;2;2;0;1;0;1;1
1;1;117;2;2;1;1;0;1;1;1
1;1;118;1;2;1;1;1;0;1;1
1;1;119;1;2;1;1;1;1;1;1
1;1;120;1;2;1;1;1;1;1;1
1;1;121;1;2;2;0;0;1;1;1
1;1;122;1;1;2;0;0;1;1;1
1;1;123;1;2;1;1;1;1;1;1
1;1;124;1;1;2;0;0;1;1;1
1;1;125;1;2;1;1;1;1;1;1
2;1;1;2;1;1;1;0;0;1;1
2;1;2;2;2;2;1;1;1;1;1
2;1;3;1;2;1;1;1;0;1;1
2;1;4;2;2;2;1;1;0;1;1
2;1;5;2;2;2;0;1;1;1;1
2;1;6;1;1;2;0;0;0;1;1
2;1;7;2;1;2;0;1;0;1;1
2;1;8;1;2;1;1;1;0;1;1
2;1;9;1;2;1;1;1;1;1;1
2;1;10;1;1;1;0;1;1;1;1
2;1;11;2;1;2;0;1;0;1;1
2;1;12;1;1;1;1;1;0;1;1
2;1;13;2;2;1;1;0;0;1;1
2;1;14;1;2;1;1;1;0;1;1
2;1;15;1;1;1;1;1;1;1;1
2;1;16;2;2;2;1;1;0;1;1
2;1;17;1;2;1;1;1;0;1;1
2;1;18;1;2;1;1;1;1;1;1
2;1;19;1;1;2;0;0;1;1;1
2;1;20;1;2;1;1;1;1;1;1
2;1;21;1;1;1;1;1;1;1;1
2;1;22;1;1;1;0;1;1;1;1
2;1;23;1;1;1;1;1;1;1;1
2;1;24;2;2;2;0;1;0;1;1
2;1;25;2;2;2;1;1;1;1;1
2;1;26;1;1;2;1;0;0;1;1
2;1;27;2;2;1;1;0;0;1;1
2;1;28;1;2;1;1;1;0;1;1
2;1;29;2;2;2;0;1;0;1;1
2;1;30;1;2;2;1;0;0;1;1
2;1;31;2;1;2;1;1;0;1;1
2;1;32;2;2;1;1;0;1;1;1
2;1;33;2;2;1;1;0;1;1;1
2;1;34;2;2;2;1;1;1;1;1
2;1;35;1;1;2;1;0;0;1;1
2;1;36;2;2;1;1;0;0;1;1
2;1;37;2;2;1;0;0;1;1;1
2;1;38;2;2;2;1;1;1;1;1
2;1;39;1;2;1;1;1;0;1;1
2;1;40;2;1;2;0;1;0;1;1
2;1;41;2;2;1;1;0;1;1;1
2;1;42;2;1;1;1;0;1;1;1
2;1;43;2;1;2;0;1;1;1;1
2;1;44;1;2;2;1;0;0;1;1
2;1;45;-1;-1;-1;0;-1;0;1;1
2;1;46;2;1;2;0;1;0;1;1
2;1;47;1;2;1;1;1;0;1;1
2;1;48;2;1;1;1;0;0;1;1
2;1;49;1;2;1;1;1;0;1;1
2;1;50;2;1;2;0;1;0;1;1
2;1;51;1;2;1;0;1;0;1;1
2;1;52;1;2;2;0;0;1;1;1
2;1;53;1;1;1;1;1;1;1;1
2;1;54;1;1;1;1;1;1;1;1
2;1;55;2;2;1;0;0;0;1;1
2;1;56;2;1;2;1;1;1;1;1
2;1;57;2;2;1;1;0;1;1;1
2;1;58;2;2;2;0;1;1;1;1
2;1;59;1;2;1;0;1;0;1;1
2;1;60;2;2;1;1;0;0;1;1
2;1;61;1;1;1;1;1;0;1;1
2;1;62;2;2;2;1;1;0;1;1
2;1;63;2;2;2;1;1;1;1;1
